epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,700.809,3.97303,4.75021,3.73911,0.00012,0.03233,7e-05,2e-05,5.04217,5.37936,4.15531,0.000660714,0.000660714,0.000660714
2,1400.55,2.46223,2.43665,2.53835,0.55363,0.60201,0.56129,0.22508,2.08321,2.08397,2.37506,0.000889345,0.000889345,0.000889345
3,2096.78,1.92178,1.66336,2.08509,0.70659,0.69581,0.65333,0.32854,1.66808,1.73409,2.0583,0.000677976,0.000677976,0.000677976
